id,warehouse_id,taxon,form,colour {filter []},colour {filter []},colour {filter []},colour {filter []},colour {comment},size {filter []},size {filter []},size {filter []},size {filter []},size {comment},pronotum {filter []},pronotum {filter []},pronotum {filter []},pronotum {comment},pattern,spots,spot_fusions,melanic,leg,food [],food [],food [],UK {exist},UK {order},UK {common_name},UK {habitat {comment[]}},UK {habitat {comment[]}},UK {habitat {comment[]}},UK {habitat {filter[]}},UK {habitat {filter[]}},UK {habitat {filter[]}},UK {habitat {filter[]}},UK {plant[]},UK {plant[]},UK {plant[]},UK {overwintering},UK {comment},SK {exist},SK {order},SK {common_name},SK {habitat {comment[]}},SK {habitat {comment[]}},SK {habitat {comment[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {plant[]},SK {plant[]},SK {plant[]},SK {overwintering []},SK {comment_EN},SK {comment},CZ {exist},CZ {order},CZ {common_name},CZ {habitat {comment[]}},CZ {habitat {comment[]}},CZ {habitat {comment[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {plant[]},CZ {plant[]},CZ {plant[]},CZ {overwintering []},CZ {comment_EN},CZ {comment},IT {exist},IT {order},IT {common_name},IT {habitat {comment[]}},IT {habitat {comment[]}},IT {habitat {comment[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {plant[]},IT {plant[]},IT {plant[]},IT {overwintering []},IT {comment_EN},IT {comment},PT {exist},PT {order},PT {common_name},PT {habitat {comment[]}},PT {habitat {comment[]}},PT {habitat {comment[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {plant[]},PT {plant[]},PT {plant[]},PT {overwintering []},PT {comment_EN},PT {comment},BE {exist},BE {order},BE {common_name {NL}},BE {common_name {FR}},BE {habitat {comment[]}},BE {habitat {comment[]}},BE {habitat {comment[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {plant[]},BE {plant[]},BE {plant[]},BE {overwintering []},BE {comment_EN},BE {comment {NL}},BE {comment {FR}},?,Common Name,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Host plant,Overwintering,Comments in native language
1,171697,Adalia decempunctata,decempunctata,yellow,orange,red,,"Yellow, orange-red",3,4,5,,3.5 - 4.5,with spots,,,"White with 5 dark spots, which may be fused",Brown or black spots ,0-15 (usually 10),Common,Various and common ,Brown,Aphids ,,,YES,10,10-spot ladybird,Deciduous trees and hedgerows ,,,"Gardens, allotments and parklands",,,,Deciduous trees,,,"Leaf litter, beech nuts ",,YES,11,Lienka desaťbodková,Deciduous trees and hedgerows ,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,Various trees ,,,"Leaf litter, beech nuts ",,,YES,11,Slunéčko desetitečné,Deciduous trees and hedgerows ,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,Various trees ,,,"Leaf litter, beech nuts ",,,YES,12,,Deciduous trees and hedgerows ,,,Forests and woodlands,"Gardens, allotments and parklands",Agricultural areas,,,,,,,,Various trees ,,,"Leaf litter, beech nuts ","Common species, with strongly arboreal habits",Specie comune con abitudini decisamente arboricole,YES,5,,Deciduous trees and hedgerows ,,,Forests and woodlands,Agricultural areas,,,,,,,,,Various trees ,,,unknown,"Common species in the mainland, with strongly arboreal habits. Some hosts include acacia, olive, cypress, potato, peach and orange trees. Present in the archipelagos of the Azores and Madeira, but without specific references to the occurrence of phenotypes.","Espécie comum no continente, com hábitos fortemente arborícolas. Alguns hospedeiros incluem acácias, oliviras, ciprestes, batateira, pessegueiro e laranjeiras. Presente nos arquipélagos dos Açores e da Madeira mas sem referências específicas ao ocorrência dos fenótipos",YES,11,Tienstippelig lieveheersbeestje,"Coccinelle à 10 points, Coccinelle variable",Deciduous trees and hedgerows ,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Various trees ,,,"Leaf litter, beech nuts ",,,,,,,,,,,,,,,,,,
2,171697,Adalia decempunctata,bimaculata,black,,,,Black,3,4,5,,3.5 - 4.5,with white patch on each side,,,Black with white sides,Red spots,2,No,,Brown,Aphids ,,,YES,12,10-spot ladybird,Deciduous trees and hedgerows ,,,"Gardens, allotments and parklands",,,,Deciduous trees,,,"Leaf litter, beech nuts ",,YES,13,Lienka desaťbodková,Deciduous trees and hedgerows ,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,Various trees ,,,"Leaf litter, beech nuts ",,,YES,13,Slunéčko desetitečné,Deciduous trees and hedgerows ,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,Various trees ,,,"Leaf litter, beech nuts ",,,YES,13,,Deciduous trees and hedgerows ,,,Forests and woodlands,"Gardens, allotments and parklands",Agricultural areas,,,,,,,,Various trees ,,,"Leaf litter, beech nuts ","Common species, with strongly arboreal habits",Specie comune con abitudini decisamente arboricole,YES,6,,Deciduous trees and hedgerows ,,,Forests and woodlands,Agricultural areas,,,,,,,,,Various trees ,,,unknown,"Common species in the mainland, with strongly arboreal habits. Some hosts include acacia, olive, cypress, potato, peach and orange trees. Present in the archipelagos of the Azores and Madeira, but without specific references to the occurrence of phenotypes.","Espécie comum no continente, com hábitos fortemente arborícolas. Alguns hospedeiros incluem acácias, oliviras, ciprestes, batateira, pessegueiro e laranjeiras. Presente nos arquipélagos dos Açores e da Madeira mas sem referências específicas ao ocorrência dos fenótipos",YES,12,Tienstippelig lieveheersbeestje,"Coccinelle à 10 points, Coccinelle variable",Deciduous trees and hedgerows ,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Various trees ,,,"Leaf litter, beech nuts ",,,,,,,,,,,,,,,,,,
3,171697,Adalia decempunctata,decempustulata,black,brown,,,"Black, brown, maroon",3,4,5,,3.5 - 4.5,with spots,,," White with 5 dark spots, which may be fused, or dark trapezium mark ","Red, orange, cream",2,Common,,Brown,Aphids ,,,YES,11,10-spot ladybird,Deciduous trees and hedgerows ,,,"Gardens, allotments and parklands",,,,Deciduous trees,,,"Leaf litter, beech nuts ",,YES,12,Lienka desaťbodková,Deciduous trees and hedgerows ,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,Various trees ,,,"Leaf litter, beech nuts ",,,YES,12,Slunéčko desetitečné,Deciduous trees and hedgerows ,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,Various trees ,,,"Leaf litter, beech nuts ",,,YES,14,,Deciduous trees and hedgerows ,,,Forests and woodlands,"Gardens, allotments and parklands",Agricultural areas,,,,,,,,Various trees ,,,"Leaf litter, beech nuts ","Common species, with strongly arboreal habits",Specie comune con abitudini decisamente arboricole,YES,7,,Deciduous trees and hedgerows ,,,Forests and woodlands,Agricultural areas,,,,,,,,,Various trees ,,,unknown,"Common species in the mainland, with strongly arboreal habits. Some hosts include acacia, olive, cypress, potato, peach and orange trees. Present in the archipelagos of the Azores and Madeira, but without specific references to the occurrence of phenotypes.","Espécie comum no continente, com hábitos fortemente arborícolas. Alguns hospedeiros incluem acácias, oliviras, ciprestes, batateira, pessegueiro e laranjeiras. Presente nos arquipélagos dos Açores e da Madeira mas sem referências específicas ao ocorrência dos fenótipos",YES,13,Tienstippelig lieveheersbeestje,"Coccinelle à 10 points, Coccinelle variable",Deciduous trees and hedgerows ,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Various trees ,,,"Leaf litter, beech nuts ",,,,,,,,,,,,,,,,,,
4,169745,Coccinella undecimpunctata,,red,,,,Red,4,5,,,4.0 - 5.0,with white patch on each side,,,Black with anterior-lateral white marks,Black spots,7-11 (usually 11),Not common,No,Black,Aphids ,,,YES,22,11-spot ladybird,"Varied, but particularly dune systems",,,Sand dunes,Agricultural areas,"Gardens, allotments and parklands",,Various,,,Plant litter,"Varied, but particularly dune systems",YES,53,Lienka jedenásťbodková,"Varied, but particularly dune systems",,,Agricultural areas,"Urban, artificial habitats",,,,,Various,,,Plant litter,,,YES,53,Slunéčko jedenáctitečné,"Varied, but particularly dune systems",,,Agricultural areas,"Urban, artificial habitats",,,,,Various,,,Plant litter,,,YES,15,,"Varied, but particularly dune systems",,,"Gardens, allotments and parklands",Sand dunes,Agricultural areas,,,,,,,,Various,,,Plant litter,"It can be commonly found on salty grounds. The subs. Undecimpunctata is present in the main Island and in the Italian mainland, while in Pantelleria (Sicily) the subsp. menetriesi is present","Si ritrova comunemente su terreni salini. La sottospecie C. undecimpunctata undecimpunctata è presente nelle Isole maggiori e nell'Italia peninsulare, mentre a Pantelleria (Sicilia) è presente la sottospecie menetriesi",YES,20,,"Varied, but particularly dune systems",,,Sand dunes,Agricultural areas,,,,,,,,,Herbs,,,unknown,"Common species, strongly associated to herbaceous plants from shoreline habitats. Present in the archipelago of the Azores (manly Sta. Maria island) but not in Madeira.","Espécie comum, associada a plantas herbáceas de habitats próximos da linha costeira. Presente no arquipélago dos Açores (principalmente na ilha de Sta. Maria) mas ausente da Madeira.",YES,21,Elfstippelig lieveheersbeestje,Coccinelle à 11 points,Herbage and shrub layers on well drained soils,,,Agricultural areas,Grasslands,"Urban, artificial habitats",Sand dunes,,,,,,,Various,,,Plant litter,,,,,,,,,,,,,,,,,,
5,196115,Hippodamia tredecimpunctata,,orange,red,,,Orange-red,6,7,,,5.0 - 7.0,with white patch on each side,one colour with spots,none of them,White with black pattern,Black spots,7-15 (usually 13),Rare,Rare,Black,Aphids ,,,YES,39,13-spot ladybird,Wetlands,,,Sand dunes,Wet habitats,"Gardens, allotments and parklands",,Reeds,,,Unknown,,YES,35,Lienka trinásťbodková,Wetlands,,,Wet habitats,"Gardens, allotments and parklands",,,,,Reeds,,,Unknown,,,YES,35,Slunéčko třináctitečné,Wetlands,,,Wet habitats,"Gardens, allotments and parklands",,,,,Reeds,,,Unknown,,,YES,53,,Wetlands,,,"Gardens, allotments and parklands",Sand dunes,Agricultural areas,Wet habitats,,,,,,,Reeds,,,Unknown,,,NO,,,,,,,,,,,,,,,,,,,,,,YES,37,Dertienstippelig lieveheersbeestje,Coccinelle à 13 points,Wetlands,"Grassland, meadow",,Wet habitats,Grasslands,Meadows,"Gardens, allotments and parklands",,,,,,,Reeds,,,Unknown,,,,,,,,,,,,,,,,,,
6,126807,Propylea quattuordecimpunctata,non-melanic,yellow,,,,Yellow,3,4,5,,3.5 - 4.5,with spots,,,Yellow or cream with black spots or trapezium or crown mark,Black spots,4-14 (usually 14),Very common,Very rare,Brown,Aphids ,,,YES,8,14-spot ladybird,Varied,,,Sand dunes,Agricultural areas,"Gardens, allotments and parklands",,Various,,,"Various, usually low down",,YES,4,Lienka štrnásťbodková,Varied,,,Agricultural areas,"Gardens, allotments and parklands",Forests and woodlands,,,,Various,,,"Various, usually low down",,,YES,4,Slunéčko čtrnáctitečné,Varied,,,Agricultural areas,"Gardens, allotments and parklands",Forests and woodlands,,,,Various,,,"Various, usually low down",,,YES,9,,Varied,,,Agricultural areas,Grasslands,Meadows,"Gardens, allotments and parklands",,,,,,,Various,,,"Various, usually low down","Common species, lives on trees, shrubs and herbs","Specie comune, vive su piante arboree, arbustive ed erbacee",YES,19,,Varied,,,Agricultural areas,,,,,,,,,,"Various orchards (e.g. broad beans, peach, orange)",Leguminous plants (Fabaceae),,unknown,"Species common throughout the continental territory. Observed in plant broad beans, peach and orange. Not present in the Archipelagos of the Azores and Madeira.","Espécie comum em todo o território continental. Observado em faveira, pessegueiro e laranjeira. Não está presente nos arquipélagos dos Açores e Madeira",YES,5,"Veertienstippelig lieveheersbeestje, Schaakbordlieveheersbeestje","Coccinelle à échiquier, Coccinelle à damier",Varied,,,Agricultural areas,Grasslands,Meadows,"Gardens, allotments and parklands",,,,,,,Various,,,"Various, usually low down",,,,,,,,,,,,,,,,,,
7,126807,Propylea quattuordecimpunctata,melanic,black,,,,Black,3,4,5,,3.5 - 4.6,none of them,,,"Posteriorly black, anterior margin and angles pale, border between colours wavy or four-lobed",Yellow or off-white spots,4-14 (usually 14),No,,Brown,Aphids ,,,YES,9,14-spot ladybird,Varied,,,Sand dunes,Agricultural areas,"Gardens, allotments and parklands",,Various,,,"Various, usually low down",,YES,5,Lienka štrnásťbodková,Varied,,,Agricultural areas,"Gardens, allotments and parklands",Forests and woodlands,,,,Various,,,"Various, usually low down",,,YES,5,Slunéčko čtrnáctitečné,Varied,,,Agricultural areas,"Gardens, allotments and parklands",Forests and woodlands,,,,Various,,,"Various, usually low down",,,YES,10,,Varied,,,Agricultural areas,Grasslands,Meadows,"Gardens, allotments and parklands",,,,,,,Various,,,"Various, usually low down","Common species, lives on trees, shrubs and herbs","Specie comune, vive su piante arboree, arbustive ed erbacee",YES,18,,Varied,,,Agricultural areas,,,,,,,,,,"Various orchards (e.g. broad beans, peach, orange)",Leguminous plants (Fabaceae),,unknown,"Species common throughout the continental territory. Observed in plant broad beans, peach and orange. Not present in the Archipelagos of the Azores and Madeira.","Espécie comum em todo o território continental. Observado em faveira, pessegueiro e laranjeira. Não está presente nos arquipélagos dos Açores e Madeira",YES,6,"Veertienstippelig lieveheersbeestje, Schaakbordlieveheersbeestje","Coccinelle à échiquier, Coccinelle à damier",Varied,,,Agricultural areas,Grasslands,Meadows,"Gardens, allotments and parklands",,,,,,,Various,,,"Various, usually low down",,,,,,,,,,,,,,,,,,
8,31868,Tytthaspis sedecimpunctata,,yellow,cream/beige,white,,Beige,3,,,,3,with spots,,,Beige with black spots,Black spots,13-18 (usually 16),3 lateral spots usually fused,Rare,Brown,"Pollen, nectar, fungi",,,YES,18,16-spot ladybird,"Grassland, meadows ",,,Grasslands,,,,Various grasses and low plants,,,"Gorse, under shingle stones, in leaf litter",,YES,6,Lienka šestnásťbodková,"Grassland, meadows ",,,Grasslands,Meadows,Agricultural areas,,,,Various grasses and low plants,,,"Gorse, under shingle stones, in leaf litter",,,YES,6,Slunéčko šestnáctitečné,"Grassland, meadows ",,,Grasslands,Meadows,Agricultural areas,,,,Various grasses and low plants,,,"Gorse, under shingle stones, in leaf litter",,,YES,11,,Grassland,,,Sand dunes,Agricultural areas,Grasslands,,,,,,,,Various grasses and low plants,,,"Gorse, under shingle stones, in leaf litter","Common species preferring sandy gounds, locally reach high densities in some crops (e.g. corn)","Specie comune, preferisce i terreni sabbiosi e localmente raggiunge densità elevate in alcune colture agricole (ad esempio il mais)",YES,21,,"Grassland, meadow",,,Grasslands,Agricultural areas,,,,,,,,,Various grasses and low growing plants ,,,unknown,Species common throughout the continental territory. It can be observed in wheat and potato. Not present in the Archipelagos of the Azores and Madeira.,Espécie comum em todo o território continental. Pode ser observado em trigo e batateira. Não está presente nos arquipélagos dos Açores e da Madeira,YES,17,"Zestienpuntlieveheersbeestje, Zestienstippelig lieveheersbeestje","Coccinelle à 16 points, Coccinelle à zigzag",Grassland,,,Sand dunes,Agricultural areas,Grasslands,,,,,,,,"Gorse, under shingle stones, in leaf litter",,,"Gorse, under shingle stones, in leaf litter",,,,,,,,,,,,,,,,,,
9,217657,Myrrha octodecimguttata,,brown,white,,,Maroon-brown,4,5,,,4.0 - 5.0,M-shape,,,White with rounded m-mark,Cream spots,14-18,Common,No,Brown,Aphids ,Myrmecophily,,YES,31,18-spot ladybird,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,Scots pine,,,High on Scots pine,,YES,39,Lienka osemnásťškvrnná,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,Scots pine,,,High on Scots pine,,,YES,39,Slunéčko osmnáctiskvrnné ,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,Scots pine,,,High on Scots pine,,,YES,36,,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Scots pine,,,High on Scots pine,"The subspecies formosa lives on Southern species of the genus Pinus (P. pinaster, P. nigra, P. halepensis), while the subsp. Octodecimguttata lives on P. sylvestre. ","La sottospecie M. o. formosa vive sulle specie meridionali del genere Pinus (P. pinaster, P. nigra, P. halepensis), mentre la sottospecie M. o. octodecimguttata vive su P. sylvestre. ",YES,22,,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Various trees ,Pinus sp. ,Cupressus sp.,unknown,In the mainland is common on Pinus trees and Cypresses. Present in the Archipelagos of the Azores (pinus trees) and Madeira.,"Em Portugal Continental, presente em Pinheiros e Ciprestes. Espécie presente nos arquipélagos dos Açores (pinheiros) e da Madeira",YES,40,"Achttienstippelig lieveheersbeestje, Achttienvleklieveheersbeestje","Coccinelle des cîmes, Coccinelle des pins",Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",Heathland,,,,,,,,Scots pine,Black pine,,"High on Scots pine, Black pine",,,,,,,,,,,,,,,,,,
10,80078,Adalia bipunctata,typica,red,,,,Red,4,5,,,4.0 - 5.0,with white patch on each side,M-shape,,Black with white patch at each side,Black spots,2,No,Many and common,Black,Aphids ,,,YES,5,2-spot ladybird,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",Very varied,,,"In houses, on bark",,YES,26,Lienka dvojbodková,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",,,Very varied,,,"In houses, on bark",,,YES,25,Slunéčko dvoutečné,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",,,Very varied,,,"In houses, on bark",,,YES,5,Coccinella dai due punti,Deciduous trees and hedgerows ,,,Grasslands,Meadows,Sand dunes,Agricultural areas,,,,,,,Very varied,,,"In houses, on bark","Common species, especially on trees and shrubs.","Specie comune, soprattutto sulle piante arboree ed arbustive.",YES,2,,Deciduous woodland,,,Forests and woodlands,Agricultural areas,,,,,,,,,Tilia sp. ,Orchards (e.g. peach and orange trees),,unknown,Very common species in the mainland and associated to Tilia and orchards (e.g. peach and orange trees). Present in the Archipelagos of the Azores (previously recorded) and Madeira.,"Muito comum em Portugal Continental, presente em Tilia e pomares (e.g. pessegueiros e laranjeiras). Espécie presente nos arquipélagos dos Açores (anteriormente inventariada) e da Madeira",YES,7,Tweestippelig lieveheersbeestje,Coccinelle à 2 points,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",,,,,,,Very varied,,,"In houses, on bark",,,,,,,,,,,,,,,,,,
